micro_cluster_id	keyword_seq	keyword
29	10	Greenhouse Gas Emissions
30	1	Electrocatalysis
30	2	Energy Conversion
30	3	Oxygen Reduction
30	4	Hydrogen Evolution
30	5	Catalysts
30	6	Water Splitting
30	7	Nanomaterials
30	8	Fuel Cells
30	9	Metal-Organic Frameworks
30	10	Sustainable Energy
31	1	Foxp3
31	2	TGF-ß
31	3	CD4+CD25+
31	4	Immune Tolerance
31	5	Autoimmunity
31	6	Thymic Selection
31	7	Memory T Cells
31	8	IL-2
31	9	Tumor Immunity
31	10	Immunological Surveillance
32	1	Dissolved Organic Matter
32	2	Eutrophication
32	3	Harmful Algal Blooms
32	4	Oceanic Carbon Cycle
32	5	Phytoplankton
32	6	Global Warming
32	7	Nutrient Limitation
32	8	Biological Productivity
32	9	Oceanic Oxygen Levels
32	10	Climate Change
33	1	Geopolymer
33	2	Cementitious Materials
33	3	Fly Ash
33	4	Alkali-Activated Materials
33	5	Sustainable Concrete
33	6	Carbon Emissions
33	7	Nanotechnology
33	8	Hydration Mechanisms
33	9	Environmental Impact
33	10	CO2 Sequestration
34	1	Syntax
34	2	Semantics
34	3	Pragmatics
34	4	Grammar
34	5	Language Evolution
34	6	Universal Grammar
34	7	Construction Grammar
34	8	Scalar Implicature
34	9	Morphology
34	10	Language Typology
35	1	Antioxidants
35	2	Free Radicals
35	3	Polyphenols
35	4	Oxidative Stress
35	5	Flavonoids
35	6	Cancer Prevention
35	7	Dietary Supplements
35	8	Bioavailability
35	9	Phenolic Compounds
35	10	Nutritional Significance
36	1	Deep Learning
36	2	Convolutional Neural Networks
36	3	Image Recognition
36	4	Object Detection
36	5	Semantic Segmentation
36	6	Neural Network Architectures
36	7	Computer Vision
36	8	Image Classification
36	9	Model Compression
36	10	Autonomous Driving
37	1	High-Temperature Superconductivity
37	2	Cuprate Superconductors
37	3	Dynamical Mean-Field Theory
37	4	Proximity Effects
37	5	Quantum Monte Carlo
37	6	Electronic Structure Calculations
37	7	Ferromagnet Structures
37	8	Valence-Bond Ground States
37	9	Electron–Phonon Coupling
37	10	Stripe Order
38	1	Tuberculosis
38	2	Mycobacterium tuberculosis
38	3	Drug Resistance
38	4	Immune Response
38	5	Diagnosis
38	6	Vaccine
38	7	Host-Pathogen Interaction
38	8	Treatment
38	9	Epidemiology
38	10	Genetic Diversity
39	1	Stellar Astrophysics
39	2	Exoplanets
39	3	Galactic Evolution
39	4	Stellar Evolution
39	5	Milky Way
39	6	Gaia Mission
39	7	Planetary Systems
39	8	Massive Stars
39	9	Astronomical Surveys
39	10	Astrophysical Spectroscopy
40	1	Adaptive Control
40	2	Sliding Mode Control
40	3	Disturbance Observer
40	4	Nonlinear Systems
40	5	Finite-Time Stability
40	6	Quadrotor
40	7	Neural Network
40	8	Feedback Control
40	9	Robotic Manipulators
40	10	Aerial Vehicles
41	1	Clinical Characteristics
41	2	SARS-CoV-2
41	3	Epidemiology
41	4	Thrombosis
41	5	Immune Response
41	6	ACE2 Receptor
41	7	Cytokine Storm
41	8	Antiviral Treatment
41	9	Pathophysiology
41	10	Pandemic
42	1	Cognitive Control
42	2	Neural Mechanisms
42	3	Decision Making
42	4	Executive Functions
42	5	Emotion Regulation
42	6	Prefrontal Cortex
42	7	Attentional Networks
42	8	Neuroimaging Studies
42	9	Adolescent Brain Development
42	10	Reward Processing
43	1	Substance Use Disorders
43	2	Alcohol Dependence
43	3	Motivational Interviewing
43	4	Global Burden of Disease
43	5	Adolescent Drug Use
43	6	Psychiatric Disorders
43	7	Impulsivity
43	8	College Drinking
43	9	Behavioral Interventions
43	10	Prevention Efforts
44	1	Protein
44	2	Structure
44	3	Prediction
44	4	Molecular Dynamics
44	5	Force Field
44	6	Homology Modeling
44	7	Intrinsically Disordered Proteins
44	8	Circular Dichroism
44	9	Enzyme Catalysis
44	10	Macromolecular Crowding
45	1	Conjugated Polymers
45	2	Bulk Heterojunction
45	3	Efficiency Enhancement
45	4	Non-Fullerene Acceptors
45	5	Solution Processing
45	6	Polymer Blends
45	7	Charge Transport
45	8	Morphology Control
45	9	High-Efficiency Solar Cells
45	10	Field-Effect Transistors
46	1	Networked Control Systems
46	2	Stability Analysis
46	3	Event-Triggered Control
46	4	Time-Delay Systems
46	5	Robust Control
46	6	Switched Systems
46	7	H8 Control
46	8	Fuzzy Control
46	9	Distributed Control
46	10	Communication Constraints
47	1	Asset Pricing
47	2	Stock Returns
47	3	Market Efficiency
47	4	Investor Sentiment
47	5	Liquidity Risk
47	6	Behavioral Finance
47	7	Momentum Investing
47	8	Market Microstructure
47	9	Hedge Funds
47	10	Information Content
48	1	Particle Physics
48	2	High-Energy Collider
48	3	Higgs Boson
48	4	Neutrino Mass
48	5	Supersymmetry
48	6	Quantum Chromodynamics
48	7	Standard Model
48	8	Muon Anomalous Magnetic Moment
48	9	Electroweak Symmetry Breaking
48	10	Dark Matter
49	1	Skyrmions
49	2	Spintronics
49	3	Magnetic Tunnel Junctions
49	4	Spin Hall Effect
49	5	Room Temperature
49	6	Nanoparticles
49	7	Ferromagnetic Materials
49	8	Domain-Wall Logic
49	9	Magnonics
49	10	Antiferromagnetic Spintronics
50	1	Analytic Hierarchy Process
50	2	TOPSIS
50	3	Fuzzy Sets
50	4	Group Decision Making
50	5	Supplier Selection
50	6	MCDM Methods
50	7	Intuitionistic Fuzzy Sets
50	8	Environmental Decision Making
50	9	GIS-based Decision Analysis
50	10	Belief Functions
51	1	Asthma
51	2	Allergic Diseases
51	3	Eosinophils
51	4	Inflammation
51	5	Immunology
51	6	Phenotypes
51	7	Genetics
51	8	Treatment
51	9	Airway Remodeling
51	10	Epidemiology
52	1	Image Segmentation
52	2	Medical Image Analysis
52	3	Graph Cuts
52	4	Active Contours
52	5	MRI Segmentation
52	6	Deformable Image Registration
52	7	Level Set Methods
52	8	Statistical Shape Models
52	9	Deep Learning
52	10	Texture Analysis
53	1	Power
53	2	International Institutions
53	3	Global Governance
53	4	Norms
53	5	Soft Power
53	6	Security Dilemma
53	7	International Law
53	8	Diplomacy
53	9	Globalization
53	10	Hegemony
54	1	Parallel Computing
54	2	Performance Optimization
54	3	GPU Computing
54	4	Multicore Architectures
54	5	Memory Systems
54	6	Benchmarking
54	7	Power Management
54	8	Simulation Platforms
54	9	Heterogeneous Computing
54	10	High-Performance Computing
55	1	Destination Image
55	2	Tourist Satisfaction
55	3	Community Perceptions
55	4	Sustainable Tourism
55	5	Tourism Development
55	6	COVID-19 Impact
55	7	Destination Loyalty
55	8	Place Branding
55	9	Tourism Research
55	10	Economic Growth
56	1	Dopamine
56	2	Serotonin
56	3	Reward Circuitry
56	4	Genetic Variation
56	5	Stress
56	6	Neural Plasticity
56	7	Prefrontal Cortex
56	8	Behavioral Models
56	9	Neurotransmitter Systems
56	10	Compulsive Behaviors
57	1	Face Recognition
57	2	Dimensionality Reduction
57	3	Feature Selection
57	4	Support Vector Machines
57	5	Ensemble Methods
57	6	Local Binary Patterns
57	7	Non-negative Matrix Factorization
57	8	Spectral Clustering
57	9	Laplacian Eigenmaps
57	10	Sparse Representation
58	1	Entrepreneurial Orientation
58	2	Opportunity Recognition
58	3	Social Entrepreneurship
58	4	University Technology Transfer
58	5	Venture Growth
58	6	Entrepreneurial Education
58	7	Innovation and Economic Growth
58	8	Sustainable Entrepreneurship
58	9	Gender and Entrepreneurship
58	10	Social Capital
59	1	Scaffolds
59	2	Biomaterials
59	3	Tissue Engineering
59	4	Bone Regeneration
59	5	Hydroxyapatite
59	6	Bioceramics
59	7	Osteoblast Adhesion
59	8	Bioactive Glass
59	9	Polymeric Scaffolds
59	10	Angiogenesis
60	1	Smoking Cessation
60	2	Tobacco Use
60	3	Nicotine Addiction
60	4	Health Consequences
60	5	E-Cigarettes
60	6	Public Health Campaigns
60	7	Secondhand Smoke
60	8	Nicotine Metabolism
60	9	Psychiatric Disorders
60	10	Cancer Risk
61	1	Moduli Theory
61	2	Gromov-Witten Theory
61	3	Log Canonical Singularities
61	4	Motivic Cohomology
61	5	Minimal Models
61	6	Tropical Geometry
61	7	Intersection Theory
61	8	Symplectic Geometry
61	9	Birational Geometry
61	10	Diophantine Equations
62	1	MicroRNA
62	2	Gene Expression
62	3	Cancer
62	4	Regulation
62	5	Biomarkers
62	6	Biogenesis
62	7	Targeting
62	8	Therapeutics
62	9	Metastasis
62	10	Dysregulation
63	1	Nanocarriers
63	2	Drug Delivery
63	3	Nanoparticles
63	4	Cancer Therapy
63	5	Surface Engineering
63	6	Magnetic Nanoparticles
63	7	Biomedical Applications
63	8	Tumor Targeting
63	9	Polymeric Nanoparticles
63	10	EPR Effect
64	1	Community Structure
64	2	Network Dynamics
64	3	Social Influence
64	4	Scale-Free Networks
64	5	Epidemic Spreading
64	6	Centrality Measures
64	7	Random Graphs
64	8	Influence Maximization
64	9	Small-World Networks
64	10	Network Analysis
65	1	Atrial Fibrillation
65	2	Anticoagulant Therapy
65	3	Catheter Ablation
65	4	Stroke Prevention
65	5	Risk Stratification
65	6	Guidelines
65	7	Thromboembolism
65	8	Warfarin
65	9	Rivaroxaban
65	10	Dabigatran
66	1	Gut Microbiota
66	2	Microbial Communities
66	3	Short-Chain Fatty Acids
66	4	Metagenomic Analysis
66	5	Host-Microbial Interactions
66	6	Obesity-associated Microbiome
66	7	Immune Responses
66	8	Metabolic Health
66	9	Inflammatory Diseases
66	10	Dietary Impact
67	1	Option Pricing
67	2	Stochastic Calculus
67	3	Jump Diffusion
67	4	Volatility Modeling
67	5	Mean Field Games
67	6	Term Structure Models
67	7	Risk Premia
67	8	Monte Carlo Simulation
67	9	Market Microstructure Noise
67	10	Financial Economics
68	1	Technology Acceptance Model
68	2	Information Systems
68	3	Online Shopping
68	4	Partial Least Squares
68	5	Consumer Trust
68	6	E-commerce
68	7	User Satisfaction
68	8	Mobile Banking
68	9	Structural Equation Modeling
68	10	Perceived Ease of Use
69	1	Antenna
69	2	Microstrip
69	3	MIMO
69	4	Wireless Communications
69	5	Fractal
69	6	Wideband
69	7	Reconfigurable
69	8	Metamaterial
69	9	Ultrawideband
69	10	Mutual Coupling
70	1	Civil War
70	2	Democracy
70	3	Ethnic Conflict
70	4	Political Institutions
70	5	Human Rights
70	6	Authoritarianism
70	7	Protest
70	8	State Capacity
70	9	Transitional Justice
70	10	Global Governance
71	1	Fractures
71	2	Bone Mineral Density
71	3	Osteoporotic Fractures
71	4	Microstructure
71	5	Denosumab
71	6	Zoledronic Acid
71	7	Sclerostin
71	8	Parathyroid Hormone
71	9	Bone Turnover
71	10	Wnt Signaling
72	1	Inquiry-Based Teaching
72	2	Scientific Literacy
72	3	Argumentation Discourse
72	4	Nature of Science
72	5	Conceptual Change
72	6	STEM Education
72	7	Socioscientific Issues
72	8	Learning Progressions
72	9	Teacher Preparation
72	10	Model-Based Learning
73	1	Hepatocellular Carcinoma
73	2	Liver Cancer
73	3	Management
73	4	Treatment
73	5	Diagnosis
73	6	Radiofrequency Ablation
73	7	Sorafenib
73	8	Clinical Practice Guidelines
73	9	Liver Resection
73	10	Survival
74	1	Nanotubes
74	2	Carbon
74	3	Composites
74	4	Properties
74	5	Functionalization
74	6	Electronics
74	7	Mechanical
74	8	Synthesis
74	9	Applications
74	10	Chemistry
75	1	Atmospheric Aerosols
75	2	Black Carbon
75	3	Organic Aerosol
75	4	Air Quality
75	5	Climate Forcing
75	6	Aerosol Formation
75	7	Emission Modeling
75	8	Chemical Composition
75	9	Haze Pollution
75	10	Tropospheric Chemistry
76	1	Plant Immunity
76	2	Rhizosphere Interactions
76	3	Microbial Pathogens
76	4	Pattern Recognition Receptors
76	5	Systemic Acquired Resistance
76	6	Plant Growth-Promoting Bacteria
76	7	Hormonal Modulation
76	8	Root Exudates
76	9	Pathogen Defense
76	10	Microbiome
77	1	Synaptic Plasticity
77	2	Neurotransmission
77	3	GABAergic
77	4	Glutamate Receptors
77	5	Neuronal Circuits
77	6	Astrocyte Function
77	7	NMDA Receptors
77	8	Dendritic Spines
77	9	Long-Term Potentiation
77	10	Neurological Disorders
78	1	Photocatalyst
78	2	Semiconductor
78	3	Visible Light
78	4	Water Splitting
78	5	Graphene
78	6	Hydrogen Production
78	7	Nanomaterials
78	8	Plasmonic
78	9	CO2 Reduction
78	10	Solar Energy
79	1	Nanoparticles
79	2	Antimicrobial
79	3	Toxicity
79	4	Silver
79	5	Nanomaterials
79	6	Biological Synthesis
79	7	Environmental Impact
79	8	Cytotoxicity
79	9	Green Synthesis
79	10	Biosynthesis
80	1	Wireless Sensor Networks
80	2	Energy-Efficient Protocols
80	3	Routing Techniques
80	4	Clustering Algorithms
80	5	Data Aggregation
80	6	Coverage and Connectivity
80	7	Mobile Sensor Deployment
80	8	MAC Protocols
80	9	Environmental Monitoring
80	10	Healthcare Applications
81	1	Earnings Management
81	2	Financial Reporting
81	3	Audit Committee
81	4	Accounting Quality
81	5	Corporate Governance
81	6	Accruals Quality
81	7	Information Asymmetry
81	8	International Financial Reporting Standards
81	9	Analyst Forecasts
81	10	Disclosure Practices
82	1	Antiretroviral Therapy
82	2	HIV Transmission
82	3	Preexposure Prophylaxis
82	4	Stigma and Discrimination
82	5	Viral Load
82	6	Mother-to-Child Transmission
82	7	Adherence to Medication
82	8	HIV Epidemiology
82	9	Mortality Rates
82	10	Health-related Stigma
83	1	Graphene
83	2	Two-dimensional Materials
83	3	Carbon Nanotubes
83	4	Nanocomposites
83	5	Raman Spectroscopy
83	6	Chemical Vapor Deposition
83	7	Electronic Properties
83	8	Graphene Oxide
83	9	Nanoribbons
83	10	Transparent Conductors
84	1	Chronic Pain
84	2	Global Burden
84	3	Disability
84	4	Measurement Properties
84	5	Health Status Questionnaires
84	6	Low Back Pain
84	7	Psychological Factors
84	8	Clinical Trials
84	9	Epidemiology
84	10	Musculoskeletal Disorders
85	1	Parkinson's Disease
85	2	a-Synuclein
85	3	Neurodegeneration
85	4	Dopaminergic Neurons
85	5	Genetic Risk Factors
85	6	Oxidative Stress
85	7	Diagnostic Criteria
85	8	Lewy Body Pathology
85	9	Mitochondrial Dysfunction
85	10	Non-motor Symptoms
86	1	Amyloid Hypothesis
86	2	Tau Pathology
86	3	Protein Misfolding
86	4	Neuroinflammation
86	5	Synaptic Dysfunction
86	6	Oxidative Stress
86	7	Genetic Association
86	8	Aß Oligomers
86	9	Neurodegeneration
86	10	Therapeutic Strategies
87	1	Radiocarbon Dating
87	2	Agricultural Origins
87	3	Isotopic Analysis
87	4	Domestication Studies
87	5	Archaeological Residue Analysis
87	6	Stable Isotope Analysis
87	7	Carbon Cycle Dynamics
87	8	Strontium Isotopes
87	9	Neolithic Transition
87	10	Ancient Agriculture
88	1	Biomass
88	2	Pyrolysis
88	3	Bio-oil
88	4	Hydrothermal Carbonization
88	5	Gasification
88	6	Biochar
88	7	Renewable Fuels
88	8	Catalytic Upgrading
88	9	Lignocellulosic Biomass
88	10	Thermochemical Conversion
89	1	Avian Ecology
89	2	Climate Change
89	3	Migration Patterns
89	4	Population Declines
89	5	Phenological Changes
89	6	Habitat Selection
89	7	Model Selection
89	8	Multimodel Inference
89	9	Agricultural Intensification
89	10	Conservation Actions
90	1	Zinc Oxide
90	2	Nanostructures
90	3	Semiconductors
90	4	Ferromagnetism
90	5	Nanowires
90	6	Photodetectors
90	7	Doping
90	8	Optoelectronics
90	9	Transparent Conductors
90	10	Spintronics
91	1	Plasmodium falciparum
91	2	Artemisinin Resistance
91	3	Malaria Parasite
91	4	Mosquito Vectors
91	5	Antimalarial Drug
91	6	Genome Sequence
91	7	Insecticide Resistance
91	8	Vaccine Development
91	9	Epidemiology
91	10	Global Burden
92	1	Catalysis
92	2	Transition Metal
92	3	Polymerization
92	4	Organometallic Chemistry
92	5	Bond Activation
92	6	Olefin
92	7	Hydrogenation
92	8	NMR Chemical Shifts
92	9	Pincer Complexes
92	10	Dinitrogen Reduction
93	1	Nuclear Structure
93	2	Nuclear Forces
93	3	Nucleosynthesis
93	4	Neutron Radii
93	5	Mean-Field Models
93	6	Nuclear Reactions
93	7	Shell Model
93	8	Isospin Physics
93	9	Mass Evaluation
93	10	Astrophysical Reaction Rates
94	1	Epilepsy
94	2	Seizures
94	3	Classification
94	4	Antiepileptic Drugs
94	5	Status Epilepticus
94	6	Neurobiology
94	7	Surgery
94	8	Inflammation
94	9	Genetics
94	10	Drug Resistance
95	1	Cosmological Parameters
95	2	Dark Energy
95	3	Cosmic Microwave Background
95	4	Inflation
95	5	Modified Gravity
95	6	Supernovae
95	7	Baryon Acoustic Oscillations
95	8	General Relativity
95	9	Hubble Constant
95	10	Scalar-Tensor Theories
96	1	Metal-Organic Frameworks
96	2	Porous Materials
96	3	Gas Adsorption
96	4	Catalysis
96	5	Methane Storage
96	6	Crystal Engineering
96	7	Chemical Sensors
96	8	Drug Delivery
96	9	CO2 Capture
96	10	Heterogeneous Catalysis
97	1	Upconversion Nanoparticles
97	2	Luminescent Materials
97	3	Nanocrystal Synthesis
97	4	Biological Imaging
97	5	Theranostics
97	6	Solar Cell Efficiency
97	7	Temperature Sensing
97	8	Rare Earth Ions
97	9	Photon Upconversion
97	10	Solid-State Lighting
98	1	Ruminant Nutrition
98	2	Methane Production
98	3	Microbial Community
98	4	Dietary Tannins
98	5	Rumen Fermentation
98	6	Milk Composition
98	7	Feed Efficiency
98	8	Subacute Ruminal Acidosis
98	9	Fatty Acid Composition
98	10	Forage Quality
99	1	III-Nitrides
99	2	Semiconductors
99	3	Light-Emitting Diodes
99	4	GaN
99	5	AlGaN/GaN HEMTs
99	6	Defects and Impurities
99	7	Solid-State Lighting
99	8	Nanowires
99	9	UV LEDs
99	10	Band Parameters
100	1	Particle Swarm Optimization
100	2	Differential Evolution
100	3	Ant Colony Optimization
100	4	Firefly Algorithm
100	5	Metaheuristics
100	6	Nature-Inspired Algorithms
100	7	Global Optimization
100	8	Evolutionary Algorithms
100	9	Constraint Handling
100	10	Optimization Applications
101	1	Cloud Computing
101	2	Big Data
101	3	MapReduce
101	4	Virtualization
101	5	Data Centers
101	6	Resource Management
101	7	Hadoop
101	8	Distributed Systems
101	9	Energy Efficiency
101	10	Scalability
102	1	Bibliometric Analysis
102	2	Research Evaluation
102	3	Scientific Impact
102	4	Citation Networks
102	5	Collaboration Patterns
102	6	Open Access Publishing
102	7	Social Impact Assessment
102	8	Altmetrics
102	9	Co-authorship Networks
102	10	Interdisciplinary Research
103	1	Reading Acquisition
103	2	Dyslexia
103	3	Visual Word Recognition
103	4	Language Development
103	5	Reading Comprehension
103	6	Phonological Awareness
103	7	Literacy Instruction
103	8	Neurological Basis of Reading
103	9	Vocabulary Development
103	10	Orthographic Processing
104	1	Nanofluids
104	2	Heat Transfer
104	3	Thermal Conductivity
104	4	Convective Transport
104	5	Enhancement
104	6	Experimental Investigation
104	7	Review
104	8	Magnetic Field Effect
104	9	Viscosity
104	10	Applications
105	1	Osteoarthritis
105	2	Cartilage
105	3	Chondrocyte
105	4	Inflammation
105	5	Joint
105	6	Regeneration
105	7	Matrix Metalloproteinases
105	8	Synovitis
105	9	Hypertrophy
105	10	Mesenchymal Stem Cells
106	1	Autism Spectrum Disorders
106	2	Genetics
106	3	Neurodevelopmental Disorders
106	4	Social Skills Interventions
106	5	Brain Connectivity
106	6	Epidemiology
106	7	Executive Functioning
106	8	Early Intervention
106	9	Emotion Recognition
106	10	Neuroanatomy
107	1	Lead-free Piezoceramics
107	2	Ferroelectric Materials
107	3	Piezoelectric Properties
107	4	Perovskite Structure
107	5	Relaxor Ferroelectrics
107	6	Thin Film Ferroelectrics
107	7	Electrocaloric Effect
107	8	Domain Wall Nanoelectronics
107	9	High Energy Storage Materials
107	10	Phase Boundary Piezoelectrics
108	1	Political Science
108	2	Empirical Analysis
108	3	Voter Behavior
108	4	Party Polarization
108	5	Public Opinion
108	6	Economic Policy
108	7	Campaign Effects
108	8	Electoral Systems
108	9	Policy Formation
108	10	Democracy
109	1	Paleoredox
109	2	Paleoproductivity
109	3	Trace Metals
109	4	Oceanic Anoxic Events
109	5	Atmospheric Oxygenation
109	6	Biogeochemical Cycling
109	7	Isotope Geochemistry
109	8	Marine Sediments
109	9	Phanerozoic Climate
109	10	Mass Extinctions
110	1	Earthquakes
110	2	Subduction
110	3	Plate Boundaries
110	4	Fault Zones
110	5	Seismic Deformation
110	6	Tectonic Motion
110	7	Geodetic Measurements
110	8	Seismic Hazard
110	9	Slow Slip Events
110	10	Frictional Properties
111	1	Remote Sensing
111	2	Vegetation Monitoring
111	3	Phenology
111	4	MODIS
111	5	Landsat
111	6	NDVI
111	7	Global Change
111	8	Climate
111	9	Biomass Estimation
111	10	Machine Learning
112	1	HIV
112	2	AIDS
112	3	vaccine
112	4	antibodies
112	5	immune activation
112	6	neurocognitive disorders
112	7	viral reservoir
112	8	T cell
